open,high,low,close,volume
227.24,229.11,226.67,229.0,3138952.0
227.5,228.38,225.51,227.39,2656181.0
227.75,230.36,227.19,227.41,2640253.0
228.83,229.19,224.27,226.92,2995121.0
226.73,228.98,225.5115,228.83,4449543.0
223.35,226.42,222.65,226.13,7189260.0
223.35,227.2,220.89,222.97,5320740.0
215.81,222.63,215.2701,222.4,5236434.0
211.0,214.96,209.7725,214.6,4562901.0
206.5,210.33,206.19,210.25,2860746.0
207.0,208.415,205.3701,208.09,3406045.0
207.46,208.49,204.07,204.99,3986460.0
210.0,210.4999,206.35,208.99,6372853.0
209.5,211.41,209.0701,210.92,3247830.0
211.9,213.03,209.06,210.86,2818216.0
214.4,215.41,213.48,213.57,3012987.0
214.16,216.7,212.7809,213.72,3201038.0
213.64,214.5199,211.93,213.69,3675812.0
213.48,214.33,210.37,213.6,3934386.0
206.17,208.115,205.57,207.57,2441535.0
207.65,207.7,205.8,206.32,2594119.0
207.77,209.84,207.41,208.25,3334308.0
204.13,208.13,203.51,206.72,5925250.0
209.48,211.12,204.26,204.9,6956624.0
211.99,213.34,209.85,210.43,5258366.0
215.5,216.25,212.7,212.91,4993343.0
216.8,218.65,214.385,214.67,8482235.0
220.8,221.32,216.16,218.39,11193440.0
230.41,233.34,230.26,232.75,5791002.0
231.99,232.97,230.67,232.25,3180807.0
231.21,232.42,230.26,231.75,2733336.0
231.92,232.6499,230.17,232.2,4715688.0
232.0,233.145,230.655,232.88,5040092.0
232.11,233.88,231.12,233.67,2846669.0
236.4,237.37,232.71,232.96,3350556.0
233.57,236.12,233.17,235.26,2524389.0
233.25,233.44,230.46,233.26,3469322.0
235.1,235.83,231.81,233.02,3142031.0
229.2,234.95,228.5,234.3,5083566.0
228.11,229.345,227.0401,228.62,3245342.0
225.38,227.67,225.02,227.12,3457952.0
223.75,226.08,223.27,226.0,3554328.0
219.5,222.83,219.27,222.72,3788265.0
218.31,220.2,215.798,219.73,3343399.0
220.63,221.1,215.9,219.35,3548374.0
220.65,221.32,219.02,221.08,3544264.0
223.0,224.15,220.77,220.84,3830335.0
222.11,224.0,221.355,223.43,2673210.0
221.17,221.85,220.16,221.23,2537751.0
219.78,221.19,218.16,220.97,3184114.0
218.0,220.62,217.27,220.5,4074755.0
214.33,217.85,213.74,217.7,9958980.0
218.01,218.48,210.37,213.89,5279559.0
214.13,216.86,213.59,214.94,3482764.0
217.25,218.84,213.0,214.13,5635210.0
215.88,217.9,215.52,217.16,4176257.0
212.48,216.09,212.13,214.79,4572344.0
210.0,212.65,208.265,211.61,4616446.0
207.76,210.12,203.04,209.89,5554309.0
204.2,205.83,202.87,205.32,3070644.0
201.94,205.05,201.43,203.53,3705004.0
202.38,204.1,199.335,200.74,3304491.0
204.08,205.95,200.96,202.59,3229345.0
200.76,204.36,200.5,204.11,3111332.0
201.91,204.72,200.21,201.28,3874697.0
199.11,202.17,198.73,202.13,4750999.0
199.3,201.12,198.27,198.9,2989594.0
199.0,200.0,197.49,198.46,2645244.0
197.44,199.4,196.97,198.73,2617229.0
196.0,198.345,195.9,197.98,2567217.0
196.79,197.38,194.39,196.1,2321961.0
197.25,197.92,195.57,195.96,1969496.0
195.97,197.33,194.115,197.21,2579343.0
194.59,196.21,193.75,196.03,1790371.0
193.84,195.525,193.715,194.73,2361378.0
193.58,194.35,192.86,193.78,2494472.0
193.51,194.25,193.28,193.95,2471985.0
191.15,193.09,190.73,192.32,1895114.0
190.29,191.31,189.21,190.99,2178862.0
191.25,191.5761,189.0001,189.48,2290421.0
191.18,192.63,189.04,191.45,2773706.0
187.5,192.88,187.0,192.61,3712698.0
188.08,189.87,186.7,186.8,3801942.0
184.7,188.9,183.64,186.8,3632517.0
184.55,185.255,181.81,183.31,4975002.0
188.78,189.26,185.7,189.12,4548824.0
192.81,193.635,188.29,189.66,4085354.0
191.0,194.5499,189.99,192.14,5558405.0
191.48,192.77,189.09,191.04,3064978.0
193.18,193.29,189.18,191.5,3336806.0
190.51,193.57,189.622,191.75,4294875.0
186.8,196.26,185.3,191.98,9532802.0
184.14,185.0714,183.145,184.02,6962071.0
184.36,185.38,183.01,184.1,2180225.0
183.4,184.97,182.86,184.15,2488525.0
186.33,187.0,181.95,183.25,3816039.0
186.64,189.47,185.1,185.22,3487808.0
185.44,187.94,185.07,187.45,4225302.0
184.67,186.6,184.52,185.81,3374526.0
183.38,184.9,182.6,182.88,2925794.0
